Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;RemoveOutliers;Affinity;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;RetainVm;Server;Clock;EngineFactory;Toolchain;InvocationCount;IterationTime;LaunchCount;RunStrategy;TargetCount;UnrollFactor;WarmupCount;Mean;Error;StdDev;Scaled;ScaledSD;Gen 0;Gen 1;Gen 2;Allocated
Concat;Default;False;Default;Default;Default;Default;Default;Default;65535;RyuJit;X64;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;165.7 ns;3.377 ns;9.414 ns;1.00;0.00;0.0405;-;-;256 B
Interpolate;Default;False;Default;Default;Default;Default;Default;Default;65535;RyuJit;X64;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;279.4 ns;5.957 ns;17.378 ns;1.69;0.14;0.0224;-;-;144 B
StringBuilder;Default;False;Default;Default;Default;Default;Default;Default;65535;RyuJit;X64;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;179.3 ns;3.619 ns;8.458 ns;1.09;0.08;0.0520;-;-;328 B
PooledStringBuilder;Default;False;Default;Default;Default;Default;Default;Default;65535;RyuJit;X64;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;169.8 ns;3.464 ns;7.307 ns;1.03;0.07;0.0210;0.0095;0.0002;133 B
