Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;RemoveOutliers;Affinity;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;RetainVm;Server;Clock;EngineFactory;Toolchain;InvocationCount;IterationTime;LaunchCount;RunStrategy;TargetCount;UnrollFactor;WarmupCount;Mean;Error;StdDev;Scaled;ScaledSD;Gen 0;Allocated
ToList;Default;False;Default;Default;Default;Default;Default;Default;65535;RyuJit;X64;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;81.23 ns;1.687 ns;4.867 ns;1.00;0.00;0.0165;104 B
ToArray;Default;False;Default;Default;Default;Default;Default;Default;65535;RyuJit;X64;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;85.87 ns;1.967 ns;5.676 ns;1.06;0.09;0.0101;64 B
