Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;RemoveOutliers;Affinity;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;RetainVm;Server;Clock;EngineFactory;Toolchain;InvocationCount;IterationTime;LaunchCount;RunStrategy;TargetCount;UnrollFactor;WarmupCount;Mean;Error;StdDev;Scaled;ScaledSD;Gen 0;Gen 1;Gen 2;Allocated
ToLookupSelectFirstCount;Default;False;Default;Default;Default;Default;Default;Default;15;RyuJit;X64;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;44.43 ms;0.7724 ms;0.7225 ms;1.76;0.03;875.0000;808.3333;625.0000;20489.86 KB
SetAdd;Default;False;Default;Default;Default;Default;Default;Default;15;RyuJit;X64;Clr;False;True;False;True;False;False;Default;Default;Default;1;Default;Default;Default;Default;16;Default;25.22 ms;0.1061 ms;0.0941 ms;1.00;0.00;-;-;-;1 KB
